"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R50,R47,R35,R42,R11,R54,R26,R34,R41,R38,R40,R63,R51,R62,R58,R65,R56,R55,R59,R21,R46,R31,R49,R33,R36,R32,R43,R48,R64,R57,R6,R44,R61,R52,R39";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";35;"120R";;;
2;"R37,R60,R45,R16,R53";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";5;"270R";;;
3;"J1";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"+9V";;;
4;"R18,R10,R25,R4,R15,R20,R3,R2,R9,R22,R8,R12,R7,R5,R24,R23,R17,R13,R19,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";20;"3K3R";;;
5;"IC3,IC5,IC8,IC2,IC6";"DIP794W53P254L1930H508Q16N";5;"CD4511BE";;;
6;"J6";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"10VIN";;;
7;"U17,U19,U20,U18,U16";"DIP-18_W7.62mm_LongPads";5;"ULN2803A";;;
8;"J5";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"5VOUT";;;
9;"R28,R30,R29";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"180R";;;
10;"D18,D11,D3,D10,D7,D16,D8,D6,D13,D4,D15,D2,D14,D5,D12,D9,D17";"D_DO-41_SOD81_P10.16mm_Horizontal";17;"1N5817";;;
11;"U6,U10,U2,U12,U8";"DIP-8_W7.62mm";5;"NE555P";;;
12;"C3,C11,C5,C7,C9";"FKP2J021001L00HSSD";5;"FKP2J021001L00HSSD";;;
13;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
14;"J4";"SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm";1;"Switch";;;
15;"J7";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"LED1";;;
16;"U7,U3,U11,U13,U9";"DIP794W53P254L1930H508Q16N";5;"CD4029BE";;;
17;"J10";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"ROLL_DICE";;;
18;"IC4,IC7,IC1";"DIP794W53P254L1930H508Q16N";3;"CD4027BE";;;
19;"J2";"SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm";1;"GND";;;
20;"C2";"CAPPRD200W55D525H1200";1;"ECA-1CM101";;;
21;"C4,C10,C12,C8,C6";"CAPPRD200W55D525H1200";5;"ECA1HM4R7I";;;
22;"U4,U5,U14";"DIP-14_W3mm";3;"CD4093BE";;;
23;"U15";"DIP-16_W7.62mm";1;"4017";;;
24;"R27,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"R3K3";;;
25;"U1";"Converter_DCDC_RECOM_R-78HB-0.5_THT";1;"R-78HB5.0-0.5";;;
26;"J3";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"USB 5V";;;
27;"J9";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"LED3";;;
28;"C1";"CAPPRD500W65D1000H1700";1;"ECA-1HHG331";;;
29;"J8";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"LED2";;;
30;"J16";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"RESET";;;
31;"DS1,DS2,DS4,DS5,DS3";"SC2312SRWA";5;"SA23-12SRWA";;;
32;"J11";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"DICE1";;;
33;"J14";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"DICE4";;;
34;"J12";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"DICE2";;;
35;"J15";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"DICE5";;;
36;"J13";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"DICE3";;;
