Comment,Designator,Footprint,LCSC
+9V,J1,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
3K3R,R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
CD4511BE,IC3,DIP794W53P254L1930H508Q16N,
3K3R,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
3K3R,R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
3K3R,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
3K3R,R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
3K3R,R20,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
3K3R,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
CD4511BE,IC5,DIP794W53P254L1930H508Q16N,
NE555P,U6,DIP-8_W7.62mm,
FKP2J021001L00HSSD,C3,FKP2J021001L00HSSD,
3K3R,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N5817,D11,D_DO-41_SOD81_P10.16mm_Horizontal,
CD4511BE,IC8,DIP794W53P254L1930H508Q16N,
1N4007,D1,D_DO-41_SOD81_P10.16mm_Horizontal,
CD4511BE,IC2,DIP794W53P254L1930H508Q16N,
1N5817,D3,D_DO-41_SOD81_P10.16mm_Horizontal,
NE555P,U10,DIP-8_W7.62mm,
Switch,J4,SolderWire-0.75sqmm_1x03_P4.8mm_D1.25mm_OD2.3mm,
FKP2J021001L00HSSD,C11,FKP2J021001L00HSSD,
1N5817,D10,D_DO-41_SOD81_P10.16mm_Horizontal,
CD4029BE,U7,DIP794W53P254L1930H508Q16N,
1N5817,D7,D_DO-41_SOD81_P10.16mm_Horizontal,
CD4027BE,IC4,DIP794W53P254L1930H508Q16N,
270R,R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N5817,D16,D_DO-41_SOD81_P10.16mm_Horizontal,
GND,J2,SolderWire-0.75sqmm_1x01_D1.25mm_OD3.5mm,
ECA-1CM101,C2,CAPPRD200W55D525H1200,
ECA1HM4R7I,C4,CAPPRD200W55D525H1200,
CD4093BE,U4,DIP-14_W3mm,
1N5817,D8,D_DO-41_SOD81_P10.16mm_Horizontal,
3K3R,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N5817,D6,D_DO-41_SOD81_P10.16mm_Horizontal,
3K3R,R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1N5817,D13,D_DO-41_SOD81_P10.16mm_Horizontal,
NE555P,U2,DIP-8_W7.62mm,
1N5817,D4,D_DO-41_SOD81_P10.16mm_Horizontal,
CD4029BE,U3,DIP794W53P254L1930H508Q16N,
3K3R,R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
ECA1HM4R7I,C10,CAPPRD200W55D525H1200,
120R,R26,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
ECA1HM4R7I,C12,CAPPRD200W55D525H1200,
3K3R,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
3K3R,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R3K3,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
CD4029BE,U11,DIP794W53P254L1930H508Q16N,
CD4027BE,IC7,DIP794W53P254L1930H508Q16N,
R-78HB5.0-0.5,U1,Converter_DCDC_RECOM_R-78HB-0.5_THT,
1N5817,D15,D_DO-41_SOD81_P10.16mm_Horizontal,
USB 5V,J3,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,
CD4511BE,IC6,DIP794W53P254L1930H508Q16N,
NE555P,U12,DIP-8_W7.62mm,
CD4093BE,U5,DIP-14_W3mm,
FKP2J021001L00HSSD,C5,FKP2J021001L00HSSD,
1N5817,D2,D_DO-41_SOD81_P10.16mm_Horizontal,
3K3R,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
FKP2J021001L00HSSD,C7,FKP2J021001L00HSSD,
3K3R,R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
ECA1HM4R7I,C8,CAPPRD200W55D525H1200,
1N5817,D14,D_DO-41_SOD81_P10.16mm_Horizontal,
CD4093BE,U14,DIP-14_W3mm,
CD4027BE,IC1,DIP794W53P254L1930H508Q16N,
3K3R,R23,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
