Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,ECA-1HHG331,CAPPRD500W65D1000H1700,259.08,-177.8,0.0,top
D1,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,269.24,-162.56,-90.0,top
D2,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,30.48,-149.86,0.0,top
D3,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,30.48,-160.02,0.0,top
D4,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,30.48,-154.94,0.0,top
D5,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,83.82,-147.32,0.0,top
D6,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,83.82,-152.4,0.0,top
D7,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,83.82,-157.48,0.0,top
D8,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,134.62,-147.32,0.0,top
D9,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,134.62,-152.4,0.0,top
D10,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,134.62,-157.48,0.0,top
D11,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,185.42,-147.32,0.0,top
D12,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,185.42,-152.4,0.0,top
D13,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,185.42,-157.48,0.0,top
D14,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,236.22,-144.11,0.0,top
D15,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,236.22,-149.19,0.0,top
D16,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,236.22,-154.27,0.0,top
D17,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,114.3,-177.8,0.0,top
D18,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,114.3,-182.88,0.0,top
DS1,SA23-12SRWA,SC2312SRWA,63.5,-98.63,180.0,bottom
DS2,SA23-12SRWA,SC2312SRWA,114.3,-98.63,180.0,bottom
DS3,SA23-12SRWA,SC2312SRWA,165.1,-98.63,180.0,bottom
DS4,SA23-12SRWA,SC2312SRWA,215.9,-98.63,180.0,bottom
DS5,SA23-12SRWA,SC2312SRWA,266.7,-98.63,180.0,bottom
R1,R3K3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,175.26,-190.5,90.0,top
R2,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,53.34,-190.5,0.0,top
R3,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,58.42,-149.86,0.0,top
R4,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,58.42,-157.48,0.0,top
R5,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,53.34,-149.86,-90.0,top
R6,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,55.88,-116.84,90.0,top
R7,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,83.82,-116.84,90.0,top
R8,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,129.54,-180.34,0.0,top
R9,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,129.54,-185.42,0.0,top
R10,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,101.6,-157.48,90.0,top
R11,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,66.04,-116.84,90.0,top
R12,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,169.58,-136.0,180.0,top
R13,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,154.94,-160.02,90.0,top
R14,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,160.02,-160.02,90.0,top
R15,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,154.94,-144.78,0.0,top
R16,270R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,33.02,-116.84,90.0,top
R17,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,213.36,-142.24,0.0,top
R18,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,205.74,-157.48,90.0,top
R19,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,210.82,-157.48,90.0,top
R20,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,213.36,-132.08,0.0,top
R21,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,60.96,-116.84,90.0,top
R22,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,274.32,-129.54,0.0,top
R23,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,274.32,-134.62,0.0,top
R24,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,274.32,-139.7,0.0,top
R25,3K3R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,274.32,-144.78,0.0,top
R26,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,50.8,-116.84,90.0,top
R27,R3K3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,238.76,-175.26,0.0,top
R28,180R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,144.78,-180.34,0.0,top
R29,180R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,129.54,-190.5,0.0,top
R30,180R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,157.48,-180.34,0.0,top
R31,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,71.12,-116.84,90.0,top
R32,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,45.72,-116.84,90.0,top
R33,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,40.64,-116.84,90.0,top
R34,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,99.06,-116.84,90.0,top
R35,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,104.14,-116.84,90.0,top
R36,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,109.22,-116.84,90.0,top
R37,270R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,91.44,-116.84,90.0,top
R38,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,114.3,-116.84,90.0,top
R39,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,119.38,-116.84,90.0,top
R40,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.46,-116.84,90.0,top
R41,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,129.54,-116.84,90.0,top
R42,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,144.78,-116.84,90.0,top
R43,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,149.86,-116.84,90.0,top
R44,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,154.94,-116.84,90.0,top
R45,270R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,137.16,-116.84,90.0,top
R46,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,160.02,-116.84,90.0,top
R47,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,165.1,-116.84,90.0,top
R48,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,170.18,-116.84,90.0,top
R49,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,175.26,-116.84,90.0,top
R50,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,198.12,-116.84,90.0,top
R51,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,203.2,-116.84,90.0,top
R52,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,208.28,-116.84,90.0,top
R53,270R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,190.5,-116.84,90.0,top
R54,120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,213.36,-116.84,90.0,top
